# Copyright (c) 2023, Arm Limited.
# SPDX-License-Identifier: Apache-2.0
# Auto-generated from actuation_format_bag
1672931045176443242,0x1.18932p-1,0x1.4d1ec2p-2,0x1.15a4ap-5,0x0p+0
1672931045201308291,0x1.1a77ap-1,0x1.77ae7ap-2,0x1.1617d6p-5,0x0p+0
1672931045226349174,0x1.1a7c6ap-1,0x1.77ae7ap-2,0x1.1627d6p-5,0x0p+0
1672931045251337227,0x1.1a80ecp-1,0x1.77ae7ap-2,0x1.1637eep-5,0x0p+0
1672931045276275576,0x1.1a853p-1,0x1.77ae7ap-2,0x1.164832p-5,0x0p+0
1672931045301261201,0x1.1a893cp-1,0x1.77ae7ap-2,0x1.16588ep-5,0x0p+0
1672931045326304557,0x1.1a8cfp-1,0x1.77ae7ap-2,0x1.16691ep-5,0x0p+0
1672931045351374882,0x1.1a904cp-1,0x1.77ae7ap-2,0x1.1679cap-5,0x0p+0
1672931045376378154,0x1.1a9362p-1,0x1.fb08dcp-2,0x1.168ab6p-5,0x0p+0
1672931045401388729,0x1.1a9634p-1,0x1.fb08dcp-2,0x1.169bf8p-5,0x0p+0
1672931045426505519,0x1.1a98c2p-1,0x1.fb08dcp-2,0x1.16ad8p-5,0x0p+0
1672931045451212604,0x1.1a9b16p-1,0x1.fb08dcp-2,0x1.16bf4cp-5,0x0p+0
1672931045476319713,0x1.0845fcp-1,0x1.1b69bep-1,0x1.11007ap-5,0x0p+0
1672931045501342741,0x1.083aaep-1,0x1.1b69d8p-1,0x1.1108fcp-5,0x0p+0
1672931045526479014,0x1.082ebcp-1,0x1.1b69d8p-1,0x1.111178p-5,0x0p+0
1672931045551450436,0x1.08224p-1,0x1.1b69d8p-1,0x1.1119f2p-5,0x0p+0
1672931045576450472,0x1.081536p-1,0x1.1b69d8p-1,0x1.112276p-5,0x0p+0
1672931045601449185,0x1.0ad842p-1,0x1.45a64p-1,0x1.1ea938p-5,0x0p+0
1672931045626495653,0x1.0acf9ep-1,0x1.45a64p-1,0x1.1ec80ap-5,0x0p+0
